filename,heating_system
0291_W11.pdf,Gas central heating
0271_TA9.pdf,Gas central heating
0187_NW8.pdf,Gas central heating
0281_TN33.pdf,Not mentioned
0290_W10.pdf,Gas central heating
0296_W6.pdf,Gas central heating
0252_TA6.pdf,Not mentioned
0133_DT4.pdf,Not mentioned
0276_TN16.pdf,Not mentioned
0199_PO22.pdf,Not mentioned
0198_PO22.pdf,Not mentioned
0176_N1.pdf,Not mentioned
0192_PO11#.pdf,Not mentioned
0147_GU25.pdf,Not mentioned
0285_TN38.pdf,Gas central heating
0178_N16.pdf,Gas central heating
0116_CM12.pdf,Gas central heating
0268_TA9.pdf,Gas central heating
0190_PL13.pdf,Gas central heating
0264_TA7.pdf,Gas central heating
0143_E8.pdf,Gas central heating
0246_BN18.pdf,Gas central heating
0128_CT6.pdf,Not mentioned
0287_TQ2.pdf,Not mentioned
0165_ME14.pdf,Not mentioned
0228_SS1.pdf,Not mentioned
0127_CR8.pdf,Gas central heating
0182_N8.pdf,Gas central heating
